tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
3.63912e-04,2.35036e-04,1.66568e-04,1.14093e-04,7.61811e-05,5.56354e-05,4.30687e-05,3.17844e-05,2.25721e-05,1.70420e-05,1.34213e-05,9.98175e-06,7.04731e-06,5.20423e-06,3.98585e-06,2.77944e-06,1.83728e-06,1.27482e-06,9.17409e-07,5.89799e-07,3.52306e-07
3.80061e-04,2.48633e-04,1.77176e-04,1.21207e-04,8.01859e-05,5.78543e-05,4.42566e-05,3.21793e-05,2.24851e-05,1.67775e-05,1.31024e-05,9.66476e-06,6.77858e-06,4.98835e-06,3.81427e-06,2.65868e-06,1.76024e-06,1.22496e-06,8.84767e-07,5.72317e-07,3.44764e-07
3.77677e-04,2.46988e-04,1.76226e-04,1.20985e-04,8.05184e-05,5.84243e-05,4.49084e-05,3.28329e-05,2.30678e-05,1.72699e-05,1.35067e-05,9.95550e-06,6.94547e-06,5.06755e-06,3.83628e-06,2.63159e-06,1.70867e-06,1.16988e-06,8.34506e-07,5.33283e-07,3.19488e-07
3.77677e-04,2.46988e-04,1.76227e-04,1.20984e-04,8.05151e-05,5.84130e-05,4.48834e-05,3.27836e-05,2.29887e-05,1.71769e-05,1.34155e-05,9.88494e-06,6.91416e-06,5.07094e-06,3.86327e-06,2.67710e-06,1.75843e-06,1.21398e-06,8.69990e-07,5.56424e-07,3.30575e-07
3.77641e-04,2.46932e-04,1.76157e-04,1.20904e-04,8.04337e-05,5.83394e-05,4.48208e-05,3.27374e-05,2.29623e-05,1.71660e-05,1.34159e-05,9.89636e-06,6.93363e-06,5.09340e-06,3.88591e-06,2.69753e-06,1.77455e-06,1.22593e-06,8.78453e-07,5.61021e-07,3.31984e-07
3.77677e-04,2.46988e-04,1.76227e-04,1.20984e-04,8.05150e-05,5.84128e-05,4.48830e-05,3.27825e-05,2.29862e-05,1.71731e-05,1.34105e-05,9.87889e-06,6.90791e-06,5.06545e-06,3.85893e-06,2.67461e-06,1.75788e-06,1.21468e-06,8.71392e-07,5.58215e-07,3.32286e-07
3.77569e-04,2.46867e-04,1.76104e-04,1.20871e-04,8.04214e-05,5.83400e-05,4.48284e-05,3.27490e-05,2.29735e-05,1.71742e-05,1.34207e-05,9.89675e-06,6.92999e-06,5.08785e-06,3.87985e-06,2.69203e-06,1.77064e-06,1.22361e-06,8.77427e-07,5.61330e-07,3.33241e-07
3.77677e-04,2.46988e-04,1.76227e-04,1.20984e-04,8.05137e-05,5.84086e-05,4.48741e-05,3.27660e-05,2.29612e-05,1.71450e-05,1.33841e-05,9.85964e-06,6.90018e-06,5.06679e-06,3.86579e-06,2.68500e-06,1.76809e-06,1.22285e-06,8.77294e-07,5.61431e-07,3.33358e-07
3.93395e-04,2.56018e-04,1.81773e-04,1.24028e-04,8.19906e-05,5.91888e-05,4.53088e-05,3.29583e-05,2.30134e-05,1.71413e-05,1.33550e-05,9.81336e-06,6.84436e-06,5.00824e-06,3.80817e-06,2.63228e-06,1.72405e-06,1.18724e-06,8.48901e-07,5.41285e-07,3.20460e-07
3.84816e-04,2.55782e-04,1.85550e-04,1.29811e-04,8.76236e-05,6.37102e-05,4.86581e-05,3.49207e-05,2.36685e-05,1.70144e-05,1.27799e-05,8.92731e-06,5.85091e-06,4.06171e-06,2.95641e-06,1.93631e-06,1.19986e-06,7.90742e-07,5.45245e-07,3.32254e-07,1.87461e-07
4.04070e-04,2.62004e-04,1.82879e-04,1.20525e-04,7.59767e-05,5.28016e-05,3.93478e-05,2.79688e-05,1.92652e-05,1.43141e-05,1.11760e-05,8.25692e-06,5.80391e-06,4.27526e-06,3.26885e-06,2.27534e-06,1.50175e-06,1.04107e-06,7.48859e-07,4.81386e-07,2.87709e-07
3.10324e-04,1.94231e-04,1.35837e-04,9.30344e-05,6.26631e-05,4.63044e-05,3.62443e-05,2.70979e-05,1.95168e-05,1.48880e-05,1.18118e-05,8.84845e-06,6.28375e-06,4.65497e-06,3.57109e-06,2.49271e-06,1.64773e-06,1.14247e-06,8.21329e-07,5.27139e-07,3.14212e-07
2.76152e-04,1.91914e-04,1.42975e-04,1.02185e-04,7.05652e-05,5.23746e-05,4.08528e-05,3.02901e-05,2.15302e-05,1.62298e-05,1.27538e-05,9.45378e-06,6.64586e-06,4.88925e-06,3.73230e-06,2.59130e-06,1.70457e-06,1.17777e-06,8.44440e-07,5.40263e-07,3.20988e-07
3.78055e-04,2.47486e-04,1.76795e-04,1.21586e-04,8.10799e-05,5.88888e-05,4.52409e-05,3.29537e-05,2.29182e-05,1.69357e-05,1.30769e-05,9.50369e-06,6.57267e-06,4.80739e-06,3.67458e-06,2.57695e-06,1.72840e-06,1.22012e-06,8.93318e-07,5.88387e-07,3.61545e-07
3.91826e-04,2.54829e-04,1.79607e-04,1.20676e-04,7.81387e-05,5.54794e-05,4.19522e-05,3.01557e-05,2.08528e-05,1.54590e-05,1.20251e-05,8.84491e-06,6.19890e-06,4.56583e-06,3.49596e-06,2.44172e-06,1.61947e-06,1.12785e-06,8.14568e-07,5.26327e-07,3.16272e-07
3.55070e-04,2.29443e-04,1.62384e-04,1.10745e-04,7.33509e-05,5.31384e-05,4.08382e-05,2.98702e-05,2.10056e-05,1.57454e-05,1.23367e-05,9.13060e-06,6.42316e-06,4.73527e-06,3.62406e-06,2.52659e-06,1.67071e-06,1.15994e-06,8.35290e-07,5.37555e-07,3.21537e-07
3.32623e-04,2.05729e-04,1.36874e-04,8.42437e-05,4.80790e-05,3.02155e-05,2.04684e-05,1.28860e-05,7.78905e-06,5.31194e-06,3.94928e-06,2.83995e-06,2.02241e-06,1.55229e-06,1.25083e-06,9.50659e-07,7.05314e-07,5.47655e-07,4.38861e-07,3.28432e-07,2.36136e-07
6.92493e-04,3.98371e-04,2.52201e-04,1.49239e-04,8.25010e-05,5.09953e-05,3.40760e-05,2.08214e-05,1.17863e-05,7.36132e-06,4.95866e-06,3.09631e-06,1.86599e-06,1.26184e-06,9.28996e-07,6.45477e-07,4.46960e-07,3.33344e-07,2.60224e-07,1.89687e-07,1.33278e-07
5.21709e-04,3.26903e-04,2.19090e-04,1.35584e-04,7.79925e-05,4.94395e-05,3.37692e-05,2.14482e-05,1.29808e-05,8.74711e-06,6.36358e-06,4.39387e-06,2.93997e-06,2.12148e-06,1.61369e-06,1.13081e-06,7.61100e-07,5.40418e-07,3.98592e-07,2.66132e-07,1.67274e-07
