tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.39721e-03,9.96559e-04,7.59139e-04,6.00346e-04,4.50828e-04,3.22461e-04,2.42641e-04,1.89808e-04,1.40116e-04,9.83389e-05,7.30945e-05,5.67023e-05,4.13650e-05,2.85339e-05,2.06422e-05,1.55208e-05,1.05515e-05,6.78022e-06,4.59743e-06,3.24766e-06,2.04557e-06,1.19970e-06,7.54638e-07,5.00333e-07,2.99370e-07,1.59338e-07,9.35132e-08,5.85037e-08,3.24611e-08,1.60621e-08,8.80241e-09,5.20746e-09
1.39929e-03,1.04522e-03,8.25946e-04,6.73664e-04,5.24643e-04,3.90743e-04,3.03601e-04,2.43641e-04,1.84936e-04,1.33169e-04,1.00512e-04,7.87357e-05,5.81002e-05,4.08434e-05,3.02921e-05,2.34291e-05,1.66489e-05,1.12805e-05,7.99375e-06,5.85186e-06,3.83868e-06,2.33579e-06,1.50361e-06,1.01037e-06,6.08549e-07,3.21036e-07,1.83810e-07,1.10726e-07,5.69590e-08,2.42371e-08,1.06679e-08,4.52610e-09
1.26227e-03,9.70115e-04,7.86385e-04,6.56593e-04,5.26989e-04,4.07292e-04,3.26958e-04,2.70085e-04,2.12647e-04,1.59930e-04,1.25178e-04,1.01033e-04,7.71126e-05,5.60547e-05,4.26416e-05,3.37309e-05,2.48464e-05,1.77662e-05,1.33567e-05,1.03898e-05,7.44928e-06,5.05857e-06,3.59484e-06,2.64230e-06,1.78459e-06,1.08879e-06,7.08974e-07,4.81546e-07,2.91797e-07,1.56090e-07,8.84851e-08,5.19950e-08
1.39209e-03,1.04272e-03,8.25927e-04,6.75070e-04,5.27122e-04,3.93815e-04,3.06801e-04,2.46771e-04,1.87835e-04,1.35681e-04,1.02652e-04,8.05503e-05,5.95372e-05,4.19163e-05,3.11327e-05,2.41212e-05,1.71975e-05,1.17100e-05,8.33951e-06,6.13350e-06,4.04857e-06,2.48093e-06,1.60662e-06,1.08525e-06,6.57907e-07,3.49910e-07,2.01806e-07,1.22429e-07,6.36407e-08,2.75525e-08,1.24316e-08,5.51184e-09
1.39929e-03,1.04522e-03,8.25946e-04,6.73664e-04,5.24643e-04,3.90743e-04,3.03601e-04,2.43641e-04,1.84936e-04,1.33173e-04,1.00523e-04,7.87568e-05,5.81373e-05,4.08973e-05,3.03526e-05,2.34880e-05,1.66975e-05,1.13125e-05,8.01220e-06,5.86064e-06,3.83870e-06,2.33044e-06,1.49636e-06,1.00273e-06,6.01368e-07,3.15052e-07,1.78962e-07,1.06813e-07,5.40543e-08,2.22642e-08,9.27807e-09,3.51239e-09
1.41769e-03,9.78409e-04,7.24624e-04,5.58933e-04,4.06997e-04,2.80936e-04,2.05468e-04,1.57205e-04,1.13309e-04,7.75651e-05,5.63683e-05,4.27017e-05,2.99948e-05,1.95524e-05,1.33548e-05,9.50892e-06,5.98748e-06,3.51669e-06,2.20033e-06,1.44428e-06,8.22290e-07,4.25778e-07,2.37700e-07,1.39876e-07,7.01752e-08,2.79454e-08,1.12475e-08,3.84178e-09,-4.49528e-10,-2.11382e-09,-2.28850e-09,-2.09062e-09
4.36079e-03,2.45990e-03,1.57564e-03,1.08639e-03,7.01538e-04,4.29335e-04,2.87673e-04,2.05805e-04,1.37675e-04,8.71519e-05,5.96677e-05,4.31386e-05,2.87753e-05,1.78342e-05,1.17698e-05,8.19020e-06,5.04945e-06,2.93229e-06,1.83557e-06,1.21521e-06,7.08301e-07,3.83956e-07,2.27419e-07,1.43770e-07,8.16525e-08,4.11630e-08,2.32567e-08,1.41459e-08,7.63178e-09,3.68807e-09,1.99734e-09,1.17637e-09
1.39929e-03,1.04522e-03,8.25946e-04,6.73664e-04,5.24643e-04,3.90743e-04,3.03601e-04,2.43640e-04,1.84928e-04,1.33124e-04,1.00385e-04,7.84958e-05,5.76964e-05,4.03037e-05,2.97418e-05,2.29478e-05,1.63252e-05,1.11417e-05,7.97595e-06,5.90242e-06,3.93266e-06,2.43768e-06,1.59479e-06,1.08724e-06,6.66971e-07,3.60225e-07,2.10717e-07,1.29635e-07,6.88047e-08,3.08213e-08,1.45735e-08,6.97330e-09
1.59347e-03,1.04641e-03,7.52018e-04,5.67944e-04,4.05077e-04,2.74369e-04,1.98151e-04,1.50228e-04,1.07229e-04,7.27089e-05,5.25346e-05,3.96971e-05,2.79112e-05,1.83353e-05,1.26803e-05,9.16497e-06,5.92032e-06,3.60541e-06,2.34279e-06,1.59879e-06,9.66545e-07,5.44078e-07,3.31921e-07,2.14945e-07,1.25459e-07,6.51707e-08,3.76442e-08,2.32864e-08,1.27710e-08,6.23255e-09,3.35787e-09,1.93602e-09
1.59347e-03,1.04641e-03,7.52018e-04,5.67945e-04,4.05080e-04,2.74381e-04,1.98179e-04,1.50274e-04,1.07296e-04,7.27892e-05,5.26136e-05,3.97663e-05,2.79621e-05,1.83637e-05,1.26930e-05,9.16778e-06,5.91511e-06,3.59625e-06,2.33281e-06,1.58919e-06,9.58203e-07,5.37470e-07,3.26726e-07,2.10829e-07,1.22440e-07,6.31493e-08,3.62212e-08,2.22480e-08,1.20764e-08,5.80527e-09,3.07641e-09,1.74031e-09
1.59336e-03,1.04630e-03,7.51924e-04,5.67858e-04,4.05002e-04,2.74314e-04,1.98120e-04,1.50222e-04,1.07251e-04,7.27519e-05,5.25817e-05,3.97387e-05,2.79392e-05,1.83457e-05,1.26787e-05,9.15621e-06,5.90660e-06,3.59039e-06,2.32869e-06,1.58625e-06,9.56411e-07,5.36562e-07,3.26318e-07,2.10719e-07,1.22570e-07,6.34382e-08,3.65735e-08,2.26229e-08,1.24531e-08,6.16283e-09,3.40903e-09,2.04889e-09
1.59721e-03,1.10386e-03,8.26999e-04,6.46897e-04,4.80819e-04,3.40735e-04,2.54770e-04,1.98315e-04,1.45497e-04,1.01300e-04,7.47549e-05,5.76650e-05,4.18714e-05,2.88713e-05,2.09782e-05,1.58821e-05,1.09298e-05,7.13776e-06,4.91270e-06,3.51745e-06,2.25506e-06,1.34892e-06,8.62346e-07,5.79376e-07,3.51686e-07,1.89570e-07,1.11686e-07,6.95405e-08,3.76763e-08,1.72897e-08,8.17850e-09,3.67703e-09
1.59196e-03,1.04338e-03,7.48675e-04,5.64683e-04,4.02149e-04,2.71969e-04,1.96219e-04,1.48671e-04,1.06067e-04,7.18886e-05,5.19113e-05,3.91928e-05,2.75129e-05,1.80277e-05,1.24349e-05,8.96518e-06,5.77096e-06,3.49999e-06,2.26588e-06,1.54108e-06,9.27354e-07,5.19102e-07,3.15059e-07,2.03041e-07,1.17750e-07,6.06368e-08,3.47403e-08,2.13185e-08,1.15590e-08,5.54858e-09,2.93581e-09,1.65751e-09
1.24221e-03,8.53091e-04,6.28926e-04,4.83412e-04,3.50830e-04,2.41658e-04,1.76710e-04,1.35307e-04,9.76782e-05,6.70061e-05,4.88029e-05,3.70767e-05,2.61963e-05,1.72699e-05,1.19634e-05,8.65260e-06,5.58990e-06,3.40161e-06,2.20751e-06,1.50407e-06,9.06829e-07,5.08475e-07,3.08949e-07,1.99251e-07,1.15627e-07,5.95708e-08,3.41337e-08,2.09444e-08,1.13513e-08,5.44273e-09,2.87451e-09,1.61839e-09
1.74938e-03,1.16054e-03,8.33251e-04,6.20831e-04,4.27544e-04,2.70794e-04,1.80898e-04,1.26311e-04,7.99147e-05,4.59153e-05,2.83615e-05,1.85610e-05,1.08396e-05,5.71546e-06,3.27887e-06,2.02289e-06,1.06392e-06,5.16411e-07,2.75382e-07,1.56803e-07,7.30296e-08,2.83990e-08,1.08342e-08,3.20021e-09,-1.11883e-09,-2.79133e-09,-2.92211e-09,-2.67579e-09,-2.21704e-09,-1.67416e-09,-1.28394e-09,-1.00876e-09
