tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
2.75645e-03,1.65611e-03,1.07006e-03,6.35593e-04,3.50982e-04,2.17336e-04,1.46937e-04,9.32176e-05,5.70246e-05,3.89419e-05,2.85957e-05,1.98222e-05,1.31208e-05,9.25249e-06,6.84121e-06,4.57839e-06,2.91115e-06,1.96784e-06,1.39344e-06,8.86831e-07,5.33383e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35593e-04,3.50982e-04,2.17337e-04,1.46937e-04,9.32177e-05,5.70246e-05,3.89415e-05,2.85942e-05,1.98176e-05,1.31094e-05,9.23391e-06,6.81717e-06,4.55057e-06,2.88529e-06,1.94772e-06,1.37992e-06,8.81817e-07,5.35816e-07
2.56346e-03,1.54452e-03,1.00046e-03,5.96204e-04,3.30864e-04,2.05925e-04,1.39912e-04,8.93485e-05,5.50793e-05,3.78323e-05,2.78980e-05,1.94161e-05,1.28871e-05,9.09462e-06,6.72193e-06,4.49127e-06,2.84904e-06,1.92281e-06,1.36111e-06,8.67839e-07,5.25198e-07
2.34952e-03,1.37772e-03,8.75695e-04,5.14169e-04,2.82798e-04,1.76218e-04,1.20548e-04,7.79910e-05,4.90024e-05,3.42107e-05,2.55418e-05,1.80010e-05,1.20722e-05,8.56993e-06,6.35666e-06,4.26110e-06,2.71024e-06,1.83258e-06,1.29928e-06,8.30174e-07,5.03728e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35593e-04,3.50982e-04,2.17336e-04,1.46936e-04,9.32174e-05,5.70244e-05,3.89413e-05,2.85940e-05,1.98174e-05,1.31092e-05,9.23363e-06,6.81678e-06,4.54980e-06,2.88365e-06,1.94498e-06,1.37612e-06,8.76856e-07,5.30270e-07
2.78132e-03,1.68165e-03,1.09270e-03,6.52069e-04,3.59474e-04,2.20428e-04,1.46813e-04,9.08199e-05,5.36854e-05,3.56305e-05,2.55923e-05,1.73231e-05,1.12076e-05,7.77126e-06,5.67074e-06,3.73599e-06,2.34075e-06,1.56774e-06,1.10513e-06,7.03398e-07,4.27199e-07
2.75828e-03,1.65991e-03,1.07584e-03,6.43466e-04,3.60117e-04,2.26255e-04,1.54880e-04,9.93125e-05,6.06520e-05,4.06687e-05,2.90070e-05,1.91100e-05,1.17509e-05,7.74016e-06,5.39614e-06,3.35870e-06,1.99091e-06,1.28296e-06,8.81009e-07,5.47595e-07,3.28657e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35592e-04,3.50977e-04,2.17318e-04,1.46893e-04,9.31239e-05,5.68591e-05,3.87307e-05,2.83692e-05,1.96134e-05,1.29657e-05,9.15131e-06,6.78021e-06,4.55630e-06,2.91443e-06,1.98239e-06,1.41285e-06,9.08383e-07,5.54126e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35593e-04,3.50982e-04,2.17336e-04,1.46937e-04,9.32198e-05,5.70309e-05,3.89524e-05,2.86087e-05,1.98344e-05,1.31251e-05,9.24602e-06,6.82537e-06,4.55368e-06,2.88382e-06,1.94333e-06,1.37371e-06,8.74210e-07,5.27907e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35593e-04,3.50982e-04,2.17336e-04,1.46937e-04,9.32188e-05,5.70296e-05,3.89529e-05,2.86128e-05,1.98450e-05,1.31426e-05,9.26637e-06,6.84527e-06,4.56992e-06,2.89427e-06,1.94911e-06,1.37620e-06,8.73780e-07,5.25769e-07
2.75645e-03,1.65611e-03,1.07006e-03,6.35594e-04,3.50983e-04,2.17337e-04,1.46937e-04,9.32183e-05,5.70254e-05,3.89429e-05,2.85972e-05,1.98255e-05,1.31288e-05,9.26703e-06,6.86271e-06,4.60892e-06,2.94851e-06,2.00663e-06,1.43017e-06,9.17322e-07,5.54559e-07
