tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31,tg_32,tg_33
1.99053e-03,1.46231e-03,1.00462e-03,6.56455e-04,4.66504e-04,3.53255e-04,2.55290e-04,1.78750e-04,1.33072e-04,1.03266e-04,7.35177e-05,4.98069e-05,3.53376e-05,2.59824e-05,1.72730e-05,1.08246e-05,7.25495e-06,5.11849e-06,3.33882e-06,2.00281e-06,1.31435e-06,9.13774e-07,5.83346e-07,3.44419e-07,2.20985e-07,1.50842e-07,9.13285e-08,5.28002e-08,3.32683e-08,2.23019e-08,1.33478e-08,7.55381e-09,4.69080e-09,3.11266e-09
1.99053e-03,1.46231e-03,1.00462e-03,6.56455e-04,4.66504e-04,3.53255e-04,2.55290e-04,1.78750e-04,1.33072e-04,1.03266e-04,7.35169e-05,4.98032e-05,3.53267e-05,2.59599e-05,1.72283e-05,1.07501e-05,7.15871e-06,5.01060e-06,3.22844e-06,1.90538e-06,1.23631e-06,8.54904e-07,5.47268e-07,3.29960e-07,2.19172e-07,1.56070e-07,1.01538e-07,6.46269e-08,4.46426e-08,3.26016e-08,2.18924e-08,1.41294e-08,9.80210e-09,7.15277e-09
1.00961e-03,7.17161e-04,4.95156e-04,3.40043e-04,2.56484e-04,2.04523e-04,1.56024e-04,1.13973e-04,8.65520e-05,6.77428e-05,4.84360e-05,3.28485e-05,2.33231e-05,1.71794e-05,1.14798e-05,7.27475e-06,4.95146e-06,3.56050e-06,2.39800e-06,1.51593e-06,1.05111e-06,7.72062e-07,5.31220e-07,3.44324e-07,2.39187e-07,1.74617e-07,1.15079e-07,7.25783e-08,4.89691e-08,3.47133e-08,2.22090e-08,1.34517e-08,8.80072e-09,6.08978e-09
1.01939e-03,7.26566e-04,5.03628e-04,3.47066e-04,2.62263e-04,2.09307e-04,1.59714e-04,1.16607e-04,8.84736e-05,6.91811e-05,4.93967e-05,3.34481e-05,2.37184e-05,1.74520e-05,1.16471e-05,7.37147e-06,5.01267e-06,3.60201e-06,2.42418e-06,1.53135e-06,1.06122e-06,7.79134e-07,5.35788e-07,3.47056e-07,2.40951e-07,1.75822e-07,1.15803e-07,7.29901e-08,4.92229e-08,3.48794e-08,2.23049e-08,1.35034e-08,8.83136e-09,6.10925e-09
1.11655e-03,8.57013e-04,6.38863e-04,4.66026e-04,3.62039e-04,2.92351e-04,2.23610e-04,1.61733e-04,1.20963e-04,9.31866e-05,6.51435e-05,4.30777e-05,2.99599e-05,2.16961e-05,1.42097e-05,8.83039e-06,5.92719e-06,4.21873e-06,2.81196e-06,1.75948e-06,1.21086e-06,8.83803e-07,6.03319e-07,3.87308e-07,2.66825e-07,1.93413e-07,1.26310e-07,7.89141e-08,5.28497e-08,3.72387e-08,2.36549e-08,1.42249e-08,9.25616e-09,6.37753e-09
1.04733e-03,8.06196e-04,6.03390e-04,4.42046e-04,3.44503e-04,2.78850e-04,2.13825e-04,1.55049e-04,1.16189e-04,8.96502e-05,6.27957e-05,4.16131e-05,2.89918e-05,2.10264e-05,1.37971e-05,8.59205e-06,5.77742e-06,4.11844e-06,2.75019e-06,1.72453e-06,1.18878e-06,8.68842e-07,5.93986e-07,3.81896e-07,2.63390e-07,1.91088e-07,1.24918e-07,7.81213e-08,5.23580e-08,3.69144e-08,2.34654e-08,1.41210e-08,9.19359e-09,6.33720e-09
1.01226e-03,7.19136e-04,4.96608e-04,3.41355e-04,2.57781e-04,2.05701e-04,1.56874e-04,1.14325e-04,8.65277e-05,6.74879e-05,4.80184e-05,3.23951e-05,2.29104e-05,1.68266e-05,1.12129e-05,7.09421e-06,4.82842e-06,3.47519e-06,2.34554e-06,1.48794e-06,1.03488e-06,7.62011e-07,5.25614e-07,3.41384e-07,2.37394e-07,1.73403e-07,1.14319e-07,7.21091e-08,4.86527e-08,3.44880e-08,2.20639e-08,1.33634e-08,8.74300e-09,6.05005e-09
1.05751e-03,7.75341e-04,5.56344e-04,3.91384e-04,2.92924e-04,2.27173e-04,1.63824e-04,1.10041e-04,7.73798e-05,5.67921e-05,3.76354e-05,2.38726e-05,1.62979e-05,1.17700e-05,7.82547e-06,5.05745e-06,3.56009e-06,2.65868e-06,1.88526e-06,1.26546e-06,9.15038e-07,6.91575e-07,4.87811e-07,3.21533e-07,2.24835e-07,1.64492e-07,1.08376e-07,6.81944e-08,4.58950e-08,3.24621e-08,2.07159e-08,1.25205e-08,8.18234e-09,5.65942e-09
1.00960e-03,7.17115e-04,4.94984e-04,3.39536e-04,2.55558e-04,2.03228e-04,1.54397e-04,1.12243e-04,8.49600e-05,6.63796e-05,4.74435e-05,3.22634e-05,2.30308e-05,1.70858e-05,1.15638e-05,7.46560e-06,5.17616e-06,3.78642e-06,2.60367e-06,1.68234e-06,1.18244e-06,8.75288e-07,6.04913e-07,3.91762e-07,2.70983e-07,1.96791e-07,1.28636e-07,8.03577e-08,5.37826e-08,3.78666e-08,2.40249e-08,1.44262e-08,9.37528e-09,6.45261e-09
1.00961e-03,7.17162e-04,4.95161e-04,3.40075e-04,2.56582e-04,2.04723e-04,1.56404e-04,1.14586e-04,8.73256e-05,6.85936e-05,4.92886e-05,3.35872e-05,2.39046e-05,1.76075e-05,1.17183e-05,7.34211e-06,4.91790e-06,3.47090e-06,2.27304e-06,1.38382e-06,9.30866e-07,6.68435e-07,4.50518e-07,2.88347e-07,1.99917e-07,1.46403e-07,9.73254e-08,6.21659e-08,4.24403e-08,3.03984e-08,1.97032e-08,1.20984e-08,8.00013e-09,5.58346e-09
