tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13
1.19962e-04,7.87082e-05,4.79448e-05,2.77602e-05,1.76644e-05,1.20519e-05,7.59494e-06,4.51258e-06,2.92981e-06,2.03637e-06,1.27441e-06,7.66350e-07,5.01129e-07,3.48976e-07
1.20358e-04,7.89271e-05,4.80243e-05,2.77663e-05,1.76576e-05,1.20470e-05,7.59387e-06,4.50909e-06,2.92117e-06,2.02622e-06,1.26651e-06,7.62155e-07,4.99190e-07,3.47816e-07
1.18955e-04,7.84352e-05,4.80380e-05,2.79544e-05,1.78616e-05,1.22279e-05,7.73421e-06,4.61166e-06,3.00217e-06,2.09089e-06,1.31155e-06,7.90446e-07,5.17799e-07,3.61030e-07
1.18697e-04,7.81118e-05,4.79265e-05,2.79801e-05,1.78100e-05,1.20886e-05,7.54482e-06,4.47420e-06,2.94872e-06,2.07912e-06,1.30685e-06,7.73382e-07,4.93663e-07,3.39599e-07
1.15414e-04,7.57112e-05,4.60931e-05,2.66593e-05,1.69459e-05,1.15502e-05,7.26948e-06,4.31335e-06,2.79794e-06,1.94348e-06,1.21538e-06,7.30348e-07,4.77377e-07,3.32383e-07
1.00318e-04,6.67763e-05,4.13204e-05,2.42692e-05,1.56161e-05,1.07479e-05,6.83520e-06,4.09955e-06,2.68404e-06,1.87813e-06,1.18378e-06,7.16126e-07,4.70330e-07,3.28762e-07
9.36498e-05,6.16524e-05,3.76751e-05,2.21024e-05,1.45235e-05,1.03378e-05,6.91291e-06,4.30248e-06,2.80242e-06,1.94369e-06,1.24693e-06,8.00172e-07,5.60586e-07,4.06052e-07
1.11615e-04,7.37533e-05,4.51350e-05,2.62066e-05,1.67925e-05,1.15676e-05,7.38571e-06,4.42065e-06,2.85348e-06,1.97032e-06,1.23467e-06,7.54541e-07,5.03703e-07,3.54701e-07
1.54498e-05,1.05356e-05,6.06192e-06,3.14890e-06,2.16591e-06,1.77016e-06,1.40669e-06,8.99619e-07,4.68352e-07,2.44754e-07,1.43214e-07,1.29436e-07,1.24693e-07,1.01127e-07
2.55716e-05,1.66380e-05,9.44541e-06,4.95212e-06,3.23923e-06,2.46512e-06,1.82295e-06,1.13283e-06,6.09245e-07,3.36520e-07,1.97139e-07,1.60667e-07,1.44727e-07,1.14704e-07
1.31867e-05,9.12608e-06,5.84536e-06,3.52773e-06,2.33393e-06,1.65121e-06,1.08541e-06,6.68485e-07,4.41075e-07,3.09945e-07,1.98326e-07,1.23649e-07,8.37339e-08,5.95384e-08
1.37059e-05,9.14704e-06,5.03285e-06,2.44722e-06,1.67323e-06,1.41353e-06,1.16985e-06,7.46149e-07,3.55723e-07,1.58260e-07,8.44901e-08,9.28043e-08,1.00463e-07,8.37388e-08
4.85935e-05,3.26816e-05,1.98646e-05,1.13530e-05,7.51374e-06,5.49976e-06,3.82051e-06,2.37067e-06,1.43758e-06,9.25833e-07,5.76916e-07,3.96508e-07,3.03218e-07,2.27342e-07
2.34437e-05,1.46304e-05,7.90105e-06,3.95960e-06,2.57406e-06,2.00243e-06,1.53586e-06,9.65632e-07,4.97646e-07,2.57004e-07,1.48021e-07,1.33234e-07,1.28372e-07,1.03966e-07
1.58497e-05,1.07439e-05,6.15307e-06,3.18441e-06,2.18177e-06,1.77854e-06,1.41107e-06,9.00929e-07,4.67390e-07,2.42931e-07,1.41549e-07,1.28438e-07,1.24142e-07,1.00734e-07
2.94536e-05,1.92274e-05,1.10282e-05,5.85724e-06,3.81142e-06,2.85439e-06,2.06691e-06,1.27608e-06,7.00873e-07,3.99389e-07,2.36050e-07,1.84014e-07,1.60059e-07,1.25385e-07
1.62431e-05,1.09965e-05,6.30977e-06,3.27860e-06,2.24014e-06,1.81554e-06,1.43159e-06,9.12392e-07,4.75774e-07,2.49405e-07,1.45597e-07,1.30398e-07,1.25003e-07,1.01166e-07
1.57617e-05,1.06722e-05,6.09512e-06,3.14156e-06,2.15204e-06,1.75824e-06,1.39883e-06,8.93053e-07,4.60803e-07,2.37385e-07,1.37708e-07,1.26252e-07,1.22895e-07,9.99023e-08
-1.88352e-05,-6.93948e-06,-1.85882e-06,-4.41964e-07,3.65342e-07,7.98413e-07,9.33499e-07,6.83189e-07,3.63704e-07,1.90909e-07,1.20810e-07,1.21970e-07,1.23443e-07,1.02169e-07
1.57167e-05,1.06201e-05,6.04630e-06,3.10389e-06,2.12494e-06,1.73932e-06,1.38797e-06,8.88396e-07,4.59125e-07,2.37070e-07,1.38117e-07,1.26791e-07,1.23341e-07,1.00241e-07
1.57319e-05,1.06425e-05,6.06987e-06,3.12327e-06,2.13912e-06,1.74916e-06,1.39339e-06,8.90424e-07,4.59598e-07,2.36887e-07,1.37661e-07,1.26371e-07,1.23033e-07,1.00026e-07
1.58444e-05,1.07252e-05,6.12377e-06,3.15316e-06,2.15558e-06,1.75788e-06,1.39617e-06,8.89763e-07,4.57820e-07,2.34890e-07,1.35894e-07,1.25071e-07,1.22108e-07,9.93641e-08
1.58772e-05,1.07498e-05,6.14123e-06,3.16487e-06,2.16370e-06,1.76362e-06,1.39968e-06,8.91502e-07,4.58600e-07,2.35138e-07,1.35740e-07,1.24736e-07,1.21752e-07,9.90401e-08
1.43140e-05,9.73151e-06,5.51230e-06,2.79187e-06,1.92871e-06,1.60858e-06,1.30742e-06,8.38295e-07,4.22428e-07,2.08824e-07,1.19222e-07,1.15532e-07,1.16347e-07,9.54667e-08
1.10801e-05,7.94658e-06,5.08117e-06,3.02193e-06,2.09470e-06,1.60014e-06,1.15902e-06,7.35137e-07,4.43716e-07,2.82942e-07,1.76829e-07,1.24700e-07,9.76834e-08,7.38763e-08
1.08137e-05,7.88506e-06,5.18275e-06,3.15884e-06,2.16876e-06,1.61298e-06,1.12675e-06,7.08178e-07,4.44856e-07,2.96650e-07,1.87470e-07,1.24935e-07,9.20110e-08,6.78817e-08
1.65598e-05,1.11584e-05,6.36900e-06,3.29044e-06,2.24233e-06,1.81770e-06,1.43519e-06,9.13948e-07,4.73766e-07,2.46042e-07,1.42952e-07,1.29376e-07,1.24942e-07,1.01320e-07
1.58898e-05,1.07430e-05,6.09841e-06,3.11396e-06,2.13699e-06,1.75965e-06,1.41237e-06,9.03035e-07,4.60675e-07,2.32787e-07,1.34049e-07,1.26108e-07,1.24767e-07,1.01896e-07
1.73753e-05,1.14927e-05,5.95018e-06,2.58503e-06,1.83330e-06,1.72227e-06,1.57401e-06,1.02807e-06,4.45726e-07,1.56875e-07,7.55278e-08,1.21295e-07,1.50543e-07,1.30025e-07
1.82215e-05,1.21498e-05,6.78334e-06,3.40240e-06,2.32661e-06,1.92868e-06,1.56399e-06,1.00202e-06,5.03623e-07,2.48069e-07,1.41833e-07,1.38711e-07,1.40374e-07,1.15430e-07
1.86475e-05,1.23186e-05,6.55995e-06,3.02998e-06,2.10634e-06,1.86999e-06,1.62669e-06,1.05381e-06,4.83995e-07,1.98172e-07,1.04162e-07,1.32261e-07,1.51681e-07,1.28737e-07
6.82461e-06,2.78769e-07,-1.76696e-06,-1.12423e-06,-3.52743e-07,1.65990e-07,5.56929e-07,6.98129e-07,6.46179e-07,5.55247e-07,4.24883e-07,2.98363e-07,2.14645e-07,1.58980e-07
