tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23
1.05658e-03,5.51084e-04,3.29233e-04,2.12785e-04,1.26717e-04,7.05098e-05,4.35603e-05,2.90485e-05,1.77819e-05,1.01289e-05,6.36193e-06,4.30263e-06,2.68855e-06,1.59743e-06,1.05278e-06,7.51437e-07,4.95517e-07,3.21170e-07,2.25372e-07,1.66584e-07,1.13017e-07,7.31677e-08,5.05334e-08,3.65705e-08
1.02348e-03,5.32182e-04,3.20374e-04,2.10433e-04,1.29552e-04,7.62815e-05,5.00092e-05,3.52695e-05,2.31680e-05,1.42643e-05,9.48052e-06,6.66611e-06,4.30484e-06,2.59687e-06,1.70135e-06,1.19438e-06,7.62762e-07,4.74707e-07,3.22181e-07,2.32022e-07,1.52961e-07,9.64754e-08,6.54291e-08,4.67135e-08
1.02347e-03,5.32176e-04,3.20361e-04,2.10410e-04,1.29522e-04,7.62631e-05,5.00275e-05,3.53393e-05,2.33133e-05,1.44823e-05,9.72425e-06,6.90197e-06,4.50055e-06,2.72514e-06,1.77286e-06,1.22559e-06,7.56763e-07,4.46941e-07,2.87771e-07,1.97475e-07,1.22489e-07,7.26730e-08,4.72055e-08,3.27092e-08
1.02347e-03,5.32176e-04,3.20360e-04,2.10409e-04,1.29517e-04,7.62402e-05,4.99699e-05,3.52365e-05,2.31463e-05,1.42559e-05,9.48146e-06,6.67355e-06,4.31845e-06,2.61491e-06,1.72045e-06,1.21242e-06,7.77356e-07,4.84301e-07,3.27753e-07,2.34767e-07,1.53189e-07,9.52474e-08,6.37625e-08,4.50218e-08
1.02347e-03,5.32174e-04,3.20359e-04,2.10408e-04,1.29516e-04,7.62389e-05,4.99686e-05,3.52353e-05,2.31449e-05,1.42538e-05,9.47789e-06,6.66754e-06,4.30799e-06,2.59818e-06,1.69877e-06,1.18770e-06,7.51032e-07,4.59417e-07,3.06130e-07,2.16839e-07,1.40359e-07,8.75844e-08,5.95628e-08,4.30695e-08
1.02347e-03,5.32176e-04,3.20360e-04,2.10409e-04,1.29517e-04,7.62400e-05,4.99697e-05,3.52364e-05,2.31460e-05,1.42550e-05,9.47908e-06,6.66901e-06,4.31041e-06,2.60305e-06,1.70696e-06,1.19920e-06,7.66482e-07,4.77374e-07,3.24141e-07,2.33502e-07,1.53977e-07,9.71317e-08,6.58779e-08,4.70340e-08
1.03069e-03,5.27690e-04,3.12902e-04,2.01983e-04,1.20858e-04,6.79930e-05,4.24566e-05,2.85504e-05,1.76127e-05,1.00810e-05,6.33681e-06,4.27943e-06,2.66251e-06,1.56788e-06,1.02165e-06,7.20312e-07,4.66288e-07,2.95983e-07,2.04463e-07,1.49500e-07,1.00502e-07,6.48438e-08,4.48948e-08,3.26762e-08
8.81402e-04,4.54779e-04,2.73058e-04,1.78467e-04,1.08389e-04,6.18499e-05,3.89455e-05,2.63129e-05,1.62919e-05,9.35637e-06,5.90370e-06,4.00629e-06,2.51386e-06,1.49953e-06,9.89177e-07,7.04676e-07,4.61699e-07,2.96134e-07,2.05871e-07,1.51114e-07,1.01919e-07,6.58909e-08,4.56564e-08,3.32386e-08
1.01054e-03,5.17136e-04,3.07048e-04,1.98554e-04,1.19094e-04,6.71604e-05,4.19909e-05,2.82527e-05,1.74317e-05,9.97692e-06,6.27276e-06,4.23881e-06,2.64117e-06,1.55943e-06,1.01892e-06,7.20110e-07,4.67488e-07,2.97477e-07,2.05797e-07,1.50603e-07,1.01307e-07,6.53808e-08,4.52662e-08,3.29424e-08
1.03611e-03,5.41700e-04,3.27334e-04,2.14356e-04,1.29860e-04,7.34771e-05,4.57939e-05,3.06324e-05,1.87331e-05,1.06203e-05,6.64375e-06,4.48431e-06,2.80214e-06,1.66777e-06,1.09931e-06,7.82709e-07,5.12159e-07,3.27639e-07,2.27055e-07,1.66118e-07,1.11516e-07,7.16985e-08,4.94483e-08,3.58565e-08
1.03167e-03,5.26842e-04,3.11033e-04,1.99833e-04,1.18991e-04,6.68772e-05,4.19865e-05,2.85092e-05,1.78930e-05,1.04860e-05,6.71340e-06,4.58662e-06,2.87096e-06,1.68028e-06,1.07822e-06,7.46311e-07,4.70132e-07,2.89958e-07,1.96263e-07,1.41548e-07,9.39795e-08,6.01468e-08,4.15068e-08,3.01830e-08
1.02812e-03,5.25152e-04,3.10947e-04,2.00717e-04,1.20381e-04,6.81589e-05,4.29069e-05,2.90940e-05,1.81442e-05,1.05085e-05,6.65657e-06,4.51390e-06,2.81194e-06,1.64965e-06,1.06771e-06,7.47271e-07,4.78837e-07,3.00854e-07,2.06363e-07,1.50168e-07,1.00495e-07,6.46228e-08,4.46613e-08,3.24736e-08
